Leitura;Nivel;Variacao;Posicao
24/11/2023 17:00;3,41;0,01;DESCENDO
24/11/2023 16:00;3,42;0,00;NORMAL
24/11/2023 15:00;3,42;0,01;SUBINDO
24/11/2023 14:00;3,41;0,01;SUBINDO
24/11/2023 13:00;3,40;0,01;SUBINDO
24/11/2023 12:00;3,39;0,02;DESCENDO
24/11/2023 11:00;3,41;0,01;DESCENDO
24/11/2023 10:00;3,42;0,02;DESCENDO
24/11/2023 09:00;3,44;0,03;DESCENDO
24/11/2023 08:00;3,47;0,04;DESCENDO
24/11/2023 07:00;3,51;0,04;DESCENDO
24/11/2023 06:00;3,55;0,04;DESCENDO
24/11/2023 05:00;3,59;0,04;DESCENDO
24/11/2023 04:00;3,63;0,04;DESCENDO
24/11/2023 03:00;3,67;0,03;DESCENDO
24/11/2023 02:00;3,70;0,02;DESCENDO
24/11/2023 01:00;3,72;0,02;DESCENDO
24/11/2023 00:00;3,74;0,05;DESCENDO
23/11/2023 23:00;3,79;0,06;DESCENDO
23/11/2023 22:00;3,85;0,06;DESCENDO
23/11/2023 21:00;3,91;0,06;DESCENDO
23/11/2023 20:00;3,97;0,06;DESCENDO
23/11/2023 19:00;4,03;0,04;DESCENDO
23/11/2023 18:00;4,07;-;NORMAL
